1509974796.56922;  37.52999;  26.46732
1509974796.60257;  38.50480;  26.80719
1509974796.63593;  38.80474;  26.55229
1509974796.66928;  38.05489;  27.40196
1509974796.70263;  38.42981;  27.31699
1509974796.73598;  38.35483;  27.91176
1509974796.76933;  38.05489;  27.57190
1509974796.80269;  38.72975;  29.01634
1509974796.83604;  38.65477;  29.52614
1509974796.86939;  38.95471;  28.76144
1509974796.90274;  39.47960;  28.33660
1509974796.93609;  39.40462;  28.93137
1509974796.96945;  40.15447;  29.10131
1509974797.00280;  40.15447;  29.61111
1509974797.03615;  39.85453;  30.63072
1509974797.06950;  40.52939;  31.31046
1509974797.10285;  41.65417;  30.46078
1509974797.13621;  41.05429;  31.39542
1509974797.16956;  41.35423;  30.54575
1509974797.20291;  41.87912;  31.05556
1509974797.23626;  42.92891;  31.90523
1509974797.26961;  42.17906;  31.05556
1509974797.30297;  42.02909;  32.41503
1509974797.33632;  42.17906;  33.77451
1509974797.36967;  42.47900;  33.60458
1509974797.40302;  43.60378;  33.34967
1509974797.43637;  43.15387;  33.77451
1509974797.46973;  43.45381;  34.02941
1509974797.50308;  43.60378;  33.77451
1509974797.53643;  43.60378;  34.53922
1509974797.56978;  44.12867;  33.60458
1509974797.60313;  44.27864;  34.02941
1509974797.63649;  45.25345;  34.19935
1509974797.66984;  45.02849;  35.47386
1509974797.70319;  45.70336;  34.53922
1509974797.73654;  45.25345;  34.96405
1509974797.76989;  45.77834;  35.98366
1509974797.80325;  46.07828;  36.40850
1509974797.83660;  46.30324;  34.96405
1509974797.86995;  47.20306;  36.06863
1509974797.90330;  46.82813;  36.49346
1509974797.93665;  47.35303;  36.40850
1509974797.97001;  46.75315;  36.49346
1509974798.00336;  47.12807;  36.23856
1509974798.03671;  47.27804;  36.49346
1509974798.07006;  49.22765;  36.32353
1509974798.10341;  49.67756;  37.17320
1509974798.13677;  49.45261;  37.51307
1509974798.17012;  49.30264;  36.49346
1509974798.20347;  49.45261;  37.25817
1509974798.23682;  50.50240;  37.42810
1509974798.27017;  50.87732;  37.76797
1509974798.30353;  50.50240;  37.34314
1509974798.33688;  50.80234;  37.42810
1509974798.37023;  51.77714;  37.25817
1509974798.40358;  52.30204;  36.66340
1509974798.43693;  52.75195;  38.10784
1509974798.47029;  52.00210;  37.25817
1509974798.50364;  52.60198;  37.68301
1509974798.53699;  53.72675;  38.36275
1509974798.57034;  54.17666;  37.68301
1509974798.60369;  54.77654;  38.78758
1509974798.63705;  54.55159;  37.93791
1509974798.67040;  55.30144;  38.53268
1509974798.70375;  55.45141;  38.95752
1509974798.73710;  55.52639;  39.38235
1509974798.77045;  55.97630;  38.70261
1509974798.80381;  55.22645;  39.38235
1509974798.83716;  56.27624;  39.46732
1509974798.87051;  56.57618;  38.78758
1509974798.90386;  57.17606;  38.53268
1509974798.93721;  57.77594;  39.38235
1509974798.97057;  57.70096;  39.29739
1509974799.00392;  57.77594;  38.87255
1509974799.03727;  57.47600;  39.89216
1509974799.07062;  57.62597;  38.53268
1509974799.10397;  57.92591;  39.29739
1509974799.13733;  59.12567;  38.78758
1509974799.17068;  58.67576;  39.04248
1509974799.20403;  58.67576;  39.72222
1509974799.23738;  59.27564;  38.95752
1509974799.27073;  59.27564;  38.36275
1509974799.30409;  60.32543;  39.55229
1509974799.33744;  59.87552;  39.72222
1509974799.37079;  60.32543;  39.38235
1509974799.40414;  60.55039;  40.14706
1509974799.43749;  60.62537;  38.70261
1509974799.47085;  61.52519;  38.02288
1509974799.50420;  60.70036;  38.27778
1509974799.53755;  61.52519;  37.76797
1509974799.57090;  62.20006;  38.61765
1509974799.60425;  62.57499;  38.10784
1509974799.63761;  62.05009;  37.17320
1509974799.67096;  62.50000;  36.57843
1509974799.70431;  62.94991;  36.40850
1509974799.73766;  63.17487;  36.57843
1509974799.77101;  62.94991;  36.32353
1509974799.80437;  63.69976;  36.23856
1509974799.83772;  63.77475;  35.98366
1509974799.87107;  64.59958;  35.89869
1509974799.90442;  65.27445;  34.96405
1509974799.93777;  65.19946;  36.66340
1509974799.97113;  63.92472;  35.04902
1509974800.00448;  66.02430;  34.45425
1509974800.03783;  64.59958;  34.45425
1509974800.07118;  65.49940;  33.51961
1509974800.10453;  66.54919;  33.94444
1509974800.13789;  65.79934;  33.43464
1509974800.17124;  66.09928;  32.92484
1509974800.20459;  66.47421;  31.73529
1509974800.23794;  66.32424;  32.58497
1509974800.27129;  65.34943;  31.14052
1509974800.30465;  65.19946;  31.65033
1509974800.33800;  65.49940;  30.63072
1509974800.37135;  66.92412;  29.95098
1509974800.40470;  66.02430;  30.37582
1509974800.43805;  65.94931;  29.44118
1509974800.47141;  66.17427;  29.18627
1509974800.50476;  66.02430;  29.01634
